iter	RMSE
0	14.23978871
1	13.43806771
2	12.64634053
3	11.88883624
4	11.25160196
5	10.62043392
6	10.04508224
7	9.575855345
8	9.132381649
9	8.725729615
10	8.34730809
11	8.083978625
12	7.827080124
13	7.602492093
14	7.375084095
15	7.196427725
16	7.011631453
17	6.827532411
18	6.693273976
19	6.584277715
20	6.461223848
21	6.362396026
22	6.259320536
23	6.190928756
24	6.118011381
25	6.045827043
26	5.981536938
27	5.924794901
28	5.866749438
29	5.822751846
30	5.776310605
31	5.742065239
32	5.69543539
33	5.671411112
34	5.631282211
35	5.593120251
36	5.569513205
37	5.54675893
38	5.522399426
39	5.501625211
40	5.486457692
41	5.458045841
42	5.439388405
43	5.419419932
44	5.40423403
45	5.391774043
46	5.361247193
47	5.351649741
48	5.330766866
49	5.32718052
50	5.30839392
51	5.292732747
52	5.28153667
53	5.265101544
54	5.253106273
55	5.243043306
56	5.225441932
57	5.210003759
58	5.202289332
59	5.192645478
60	5.173353711
61	5.165830906
62	5.157448561
63	5.133392177
64	5.118915324
65	5.10967821
66	5.09437884
67	5.087526621
68	5.078236976
69	5.071263025
70	5.064689557
71	5.053243368
72	5.047174144
73	5.035956303
74	5.030944964
75	5.020865862
76	5.006831515
77	5.00341835
78	4.999186939
79	4.99014019
80	4.979442336
81	4.977825141
82	4.972622038
83	4.96332896
84	4.952382729
85	4.942561547
86	4.94105153
87	4.934689412
88	4.921170763
89	4.916884384
90	4.912488209
91	4.902108111
92	4.890390985
93	4.881999392
94	4.872353997
95	4.869808075
96	4.858788074
97	4.853801532
98	4.839651557
99	4.832816786
