iter	Passed	Remaining
0	3	322
1	5	262
2	7	226
3	8	207
4	10	193
5	12	189
6	14	191
7	16	187
8	18	183
9	19	179
10	22	178
11	26	193
12	28	192
13	31	194
14	34	194
15	41	217
16	43	212
17	48	219
18	50	217
19	52	211
20	60	227
21	65	231
22	68	229
23	75	237
24	78	235
25	80	228
26	81	221
27	84	216
28	94	231
29	96	224
30	100	223
31	117	249
32	120	243
33	123	239
34	129	240
35	132	235
36	135	229
37	136	223
38	138	216
39	139	209
40	142	205
41	144	199
42	146	193
43	147	187
44	148	181
45	149	175
46	151	170
47	152	165
48	153	160
49	154	154
50	156	150
51	159	146
52	160	142
53	161	137
54	162	133
55	164	129
56	165	124
57	166	120
58	167	116
59	168	112
60	176	112
61	178	109
62	179	105
63	181	101
64	182	98
65	183	94
66	185	91
67	188	88
68	189	85
69	190	81
70	191	78
71	192	74
72	198	73
73	200	70
74	202	67
75	204	64
76	205	61
77	206	58
78	208	55
79	210	52
80	211	49
81	215	47
82	216	44
83	218	41
84	219	38
85	221	35
86	222	33
87	223	30
88	224	27
89	225	25
90	226	22
91	234	20
92	235	17
93	236	15
94	238	12
95	239	9
96	241	7
97	242	4
98	243	2
99	244	0
