iter	Passed	Remaining
0	2	2011
1	3	1891
2	4	1621
3	6	1536
4	7	1498
5	9	1518
6	10	1549
7	12	1524
8	13	1460
9	14	1403
10	15	1354
11	16	1319
12	17	1307
13	18	1291
14	19	1262
15	20	1280
16	22	1307
17	23	1302
18	24	1288
19	25	1268
20	26	1248
21	27	1229
22	28	1209
23	29	1190
24	30	1180
25	31	1179
26	32	1166
27	33	1157
28	35	1174
29	36	1164
30	37	1168
31	38	1159
32	39	1148
33	39	1136
34	40	1128
35	41	1119
36	42	1109
37	43	1107
38	44	1105
39	45	1097
40	46	1089
41	48	1107
42	49	1101
43	50	1101
44	51	1098
45	52	1091
46	53	1083
47	54	1075
48	55	1069
49	55	1062
50	57	1060
51	58	1060
52	59	1054
53	59	1047
54	60	1040
55	62	1051
56	63	1054
57	64	1050
58	65	1047
59	66	1046
60	67	1041
61	68	1036
62	69	1030
63	70	1029
64	71	1027
65	72	1022
66	73	1017
67	73	1012
68	74	1008
69	76	1015
70	77	1015
71	78	1013
72	79	1009
73	80	1004
74	81	1000
75	81	996
76	82	992
77	83	991
78	84	988
79	85	984
80	86	980
81	87	976
82	87	968
83	88	967
84	90	976
85	92	978
86	93	976
87	93	972
88	94	969
89	95	965
90	96	964
91	97	963
92	98	961
93	99	957
94	100	954
95	100	951
96	101	948
97	104	961
98	105	959
99	106	956
100	107	954
101	108	951
102	108	948
103	110	947
104	111	946
105	111	943
106	112	940
107	113	937
108	114	934
109	115	931
110	117	943
111	119	943
112	119	941
113	121	940
114	121	938
115	122	936
116	123	934
117	124	931
118	125	929
119	126	925
120	127	923
121	127	919
122	128	916
123	129	915
124	131	922
125	132	921
126	133	919
127	134	917
128	135	915
129	136	915
130	138	916
131	138	914
132	139	912
133	140	909
134	141	907
135	142	907
136	144	913
137	146	915
138	147	915
139	148	914
140	150	915
141	150	911
142	151	909
143	152	909
144	154	909
145	155	909
146	156	908
147	160	924
148	161	923
149	163	925
150	164	924
151	165	922
152	166	920
153	167	917
154	167	914
155	169	917
156	170	916
157	172	918
158	174	923
159	175	922
160	176	921
161	177	919
162	178	916
163	180	920
164	183	928
165	190	955
166	191	956
167	193	956
168	194	955
169	197	964
170	198	962
171	200	962
172	202	966
173	204	973
174	206	974
175	207	973
176	209	972
177	210	971
178	211	969
179	212	967
180	215	974
181	218	984
182	220	982
183	221	981
184	222	982
185	224	981
186	225	979
187	226	977
188	227	975
189	231	986
190	232	985
191	234	986
192	235	984
193	236	983
194	237	981
195	238	979
196	239	976
197	240	974
198	241	973
199	245	982
200	246	981
201	247	979
202	249	977
